ACCE_ABSORB_COST	Aufnahmepreis: %d
ACCE_ALREADY_REGISTER	Dieser Gegenstand wurde bereits verwendet.
ACCE_DEL_ABSORDITEM	Gegenstand aufnehmen und damit zerstören?
ACCE_DEL_SERVEITEM	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_DEL_SERVEITEM2	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_INITEM	Ziehe die Gegenstände auf das Fenster.
ACCE_MAXGRADE	Dies ist bereits maßgefertigt.
ACCE_MAX_DRAINRATE	Maximaler Aufnahmegrad
ACCE_NOTABSORBITEM	Du kannst keine Waffe/Rüstung benutzen, die bereits aufgenommen wurde.
ACCE_NOT_SEALITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
ACCE_NOT_USINGITEM	Ein ausgerüsteter Gegenstand kann nicht kombiniert werden.
ACCE_NOT_WINDOWOPEN	Du kannst den Gegenstand nicht verwenden, wenn das Fenster für die Kombination geöffnet ist.
ACCE_POSSIBLE_ACCE	Du kannst nur Schulterbänder benutzen.
ACCE_POSSIBLE_ACCEITEM	Du kannst Boni nur aus Waffen und Rüstungen extrahieren.
AFF_LOVE_POINT	Liebespunkte: %d%%
ALIGNMENT_NAME	Rangpunkte:
ATTACK_ERROR_UNKNOWN	Unbekannter Angriffsfehler: %s
ATTENDANCE_REWARD_QUESTION	Möchtest du deine Belohnung erhalten?
AUTO_TOOLTIP_LINE1	Fertigkeiten: Wähle Fertigkeiten für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE2	Hinweis: Du kannst unter der jeweiligen Fertigkeit den Intervall der Aktivierung (in Sekunden) editieren.
AUTO_TOOLTIP_LINE3	Tränke: Wähle Tränke für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE4	Hinweis: TP- und MP-Tränke werden aktiviert, wenn der unter dem Trank angegebene Wert in % unterschritten wird.
AUTO_TOOLTIP_LINE5	Hinweis: Die Laufzeit anderer Tränke wird in Sekunden angegeben.
AUTO_TOOLTIP_TITLE	Autojagd-Hilfe
BATTLE_POINT	Kampfpunkte
CANNOT_ATTACK_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_EQUIP_IN_EXCHANGE	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_EQUIP_IN_SHOP	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kannst einen privaten Laden nicht an einem öffentlichen Ort eröffnen.
CANNOT_SHOOT_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SHOOT_EMPTY_ARROW	Ich benötige einen Pfeil.
CANNOT_SHOOT_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_SKILL_APPROACH	Ich bin mir sicher, dass ich nicht näher rankomme.
CANNOT_SKILL_ATTACK	Ich kann das nicht angreifen.
CANNOT_SKILL_BLUE	Wenn Purpurwolfseele aktiviert ist, kannst du Indigowolfseele nicht verwenden.
CANNOT_SKILL_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Ich benötige eine Angelrute.
CANNOT_SKILL_HAVE_TO_RIDE	Ich brauche ein Pferd, um das zu verwenden.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
CANNOT_SKILL_NEED_TARGET	Wer ist das Ziel?
